espn_id,full_name,salary,position,team_id
,"Carey Spear",4500,"K","CLE"
,"Jean Fanor",4500,"DB","GB"
,"Danny Mason",4500,"LB","DEN"
,"Nate Askew",4500,"LB","TEN"
,"Aaron Colvin",4500,"CB","JAC"
,"Rod Sweeting",4500,"CB","BUF"
,"Tim Hightower",4500,"RB","NO"
,"Deandre Coleman",4500,"DT","MIA"
,"Kevin Reddick",4500,"LB","CAR"
,"Alec Lemon",4500,"WR","BAL"
,"Khairi Fortt",4500,"OLB","JAC"
,"Rashad Ross",4500,"WR","WAS"
,"Brandon Barden",4500,"TE","KC"
15803,"EJ Manuel",4500,"QB","BUF"
16237,"Jeff Tuel",4500,"QB","BUF"
15092,"Bryce Brown",4500,"RB","BUF"
13212,"Anthony Dixon",4500,"RB","BUF"
10195,"Fred Jackson",4500,"RB","BUF"
13203,"C.J. Spiller",4500,"RB","BUF"
12733,"Frank Summers",4500,"FB","BUF"
13224,"Marcus Easley",4500,"WR","BUF"
15839,"Marquise Goodwin",4500,"WR","BUF"
14920,"T.J. Graham",4500,"WR","BUF"
14402,"Chris Hogan",4500,"WR","BUF"
17448,"Caleb Hollenfly",4500,"WR","BUF"
13489,"Mike Williams",4500,"WR","BUF"
15880,"Robert Woods",4500,"WR","BUF"
16725,"Sammy Watkins",4500,"WR","BUF"
10572,"Scott Chandler",4500,"TE","BUF"
13335,"Mike Caussin",4500,"TE","WAS"
15940,"Chris Gragg",4500,"TE","BUF"
13289,"Tony Moeaki",4500,"TE","BUF"
14215,"Lee Smith",4500,"TE","BUF"
13078,"Garrison Sanborn",4500,"C","BUF"
12627,"Eric Wood",4500,"C","BUF"
14971,"Cordy Glenn",4500,"OT","BUF"
14134,"Chris Hairston",4500,"OT","BUF"
16892,"Seantrel Henderson",4500,"OT","BUF"
16796,"Cyrus Kouandjio",4500,"OT","BUF"
9399,"Erik Pears",4500,"OT","BUF"
11556,"Doug Legursky",4500,"OG","BUF"
15533,"Antoine McClain",4500,"OG","BUF"
16825,"Cyril Richardson",4500,"OG","BUF"
12742,"Kraig Urbik",4500,"OG","BUF"
11248,"Chris Williams",4500,"OG","BUF"
13245,"Jerry Hughes",4500,"DE","BUF"
15740,"Ikponmwosa Igbinosun",4500,"DE","BUF"
17338,"Bryan Johnson",4500,"DE","BUF"
9608,"Manny Lawson",4500,"DE","BUF"
9587,"Mario Williams",4500,"DE","BUF"
12752,"Jarius Wynn",4500,"DE","BUF"
16568,"Stefan Charles",4500,"DT","BUF"
14231,"Corbin Bryant",4500,"DT","BUF"
9720,"Kyle Williams",4500,"DT","BUF"
13992,"Marcell Dareus",4500,"DT","BUF"
15075,"Nigel Bradham",4500,"LB","BUF"
16762,"Preston Brown",4500,"LB","BUF"
16816,"Randell Johnson",4500,"LB","BUF"
16036,"Ty Powell",4500,"LB","BUF"
11243,"Keith Rivers",4500,"LB","BUF"
15356,"Jacquies Smith",4500,"LB","BUF"
13298,"Brandon Spikes",4500,"LB","BUF"
13466,"Stevenson Sylvester",4500,"LB","BUF"
15008,"Ron Brooks",4500,"CB","BUF"
16843,"Ross Cockrell",4500,"CB","BUF"
14942,"Stephon Gilmore",4500,"CB","BUF"
10611,"Corey Graham",4500,"CB","BUF"
11245,"Leodis McKelvin",4500,"CB","BUF"
17305,"Deon Broomfield",4500,"DB","BUF"
14671,"Mario Butler",4500,"DB","BUF"
15376,"Bobby Felder",4500,"DB","BUF"
16217,"Nickell Robey",4500,"DB","BUF"
14143,"Da'Norris Searcy",4500,"SS","BUF"
